title,country,release_year,genre,description,Streaming Service
The Chronicles Of Narnia: The Voyage of the Dawn Treader,"United States, United Kingdom",2010,"Action-Adventure, Family, Fantasy",Three heroes sail with King Caspian to help Narnian lords banished by an evil usurper of the throne.,Disney
X2,"Canada, United States",2003,"Action-Adventure, Family, Science Fiction","X-Men newcomer, Night Crawler, joins Magneto to rescue their brethren and forestall a holocaust.",Disney
Mr. Holland's Opus,United States,1996,"Drama, Music",A musician finds his passion when he takes a “day job” as a music teacher.,Disney
Disneynature Oceans,"France, Switzerland, Spain, United States, United Arab Emirates",2010,"Animals & Nature, Documentary, Family",Journey into the depths of a wonderland filled with beauty and power.,Disney
Hidden Figures,United States,2016,"Biographical, Drama, Family",A story about three women at NASA who helped launch John Glenn into orbit.,Disney
Secret Society of Second-Born Royals,United States,2020,"Action-Adventure, Coming of Age, Family","Sam, a rebellious royal, learns she is part of the Secret Society of Second-Born Royals.",Disney
The Giant Robber Crab,United States,2019,"Animals & Nature, Documentary","As we follow the robber’s life cycle, we learn that crabs are much more than creepy crawlies.",Disney
Ever After: A Cinderella Story,United States,1998,"Drama, Romance",A young woman falls in love with a prince while pretending to be a princess.,Disney
Morning Light,United States,2008,"Documentary, Sports","Fifteen rookie sailors race to be part of the ""Morning Light"" crew.",Disney
Notre Dame: Race Against The Inferno,"United Kingdom, France",2019,Documentary,"On April 15, 2019, Paris’ firefighters gave everything to save the Notre Dame cathedral.",Disney
Christopher Robin,"United Kingdom, United States",2018,"Drama, Family, Fantasy",Pooh leaves the Hundred Acre Wood to help grown-up Christopher Robin.,Disney
D2: The Mighty Ducks,United States,1994,"Comedy, Drama, Family",The Mighty Ducks face the meanest team on ice at the Junior Goodwill Games.,Disney
D3: The Mighty Ducks,United States,1996,"Comedy, Coming of Age, Drama",The Mighty Ducks inherit a new coach and a new set of problems.,Disney
Trick or Treat,United States,1952,"Animation, Family, Fantasy","Donald plays a trick on his nephews, but a witch helps them out. See details for advisory.",Disney
Alice Through the Looking Glass,"United States, United Kingdom",2016,"Action-Adventure, Fantasy",Alice returns to Underland to save the Mad Hatter in a race against time.,Disney
Phineas and Ferb The Movie: Candace Against the Universe,United States,2020,"Action-Adventure, Animation, Comedy","Phineas and Ferb set out across the galaxy to rescue Candace, who has been abducted by aliens.",Disney
Back to the Titanic,United Kingdom,2020,"Documentary, Historical",Back to the Titanic documents the first manned dives to Titanic in nearly 15 years.,Disney
Beauty and the Beast,United States,2017,"Family, Fantasy, Musical",Belle must look beyond the Beast’s exterior to find the true Prince within.,Disney
Mars: One Day on the Red Planet,United States,2020,Documentary,"An epic journey around the real Mars – built from data, as you’ve never seen it before.",Disney
The One and Only Ivan,United States,2020,"Drama, Family, Fantasy",An adaptation of the award-winning book about a very special gorilla.,Disney
Disney Zombies 2,United States,2020,"Coming of Age, Fantasy, Musical",Zed and Addison encounter a group of werewolves!,Disney
India's Wild Leopards,India,2020,"Animals & Nature, Documentary",Cameraman Sandesh Kadur’s mission is to uncover the secretive lives of India’s leopards.,Disney
Magic Camp,United States,2020,"Comedy, Family",A group of misfit campers help a down-on-his-luck magician rediscover his love of magic.,Disney
Marvel Studios' Ant-Man and the Wasp,United States,2018,"Action-Adventure, Comedy, Science Fiction",Ant-Man and the Wasp must join forces to uncover secrets from the past.,Disney
The Greatest Showman,United States,2017,"Biographical, Drama, Family",A bold and original musical celebrating the birth of show business and dreams coming to life.,Disney
Howard,United States,2020,"Biographical, Documentary, Music","“Howard” is the untold story of Howard Ashman, the brilliant lyricist behind Disney classics.",Disney
Prince of Persia: The Sands of Time,United States,2010,"Action-Adventure, Fantasy",A rogue prince and rival princess safeguard a magical dagger with the power to reverse time.,Disney
Star Wars: Galaxy's Edge-Adventure Awaits,United States,2019,"Documentary, Family",Celebrating Disney’s new land that brings Star Wars to life!,Disney
The Hidden Kingdoms of China,United States,2020,"Animals & Nature, Documentary, Family",THE HIDDEN KINGDOMS OF CHINA takes audiences into the secret wilds of China.,Disney
The Peanuts Movie,United States,2015,"Animation, Comedy, Family","Snoopy takes to the skies against The Red Baron, while his pal, Charlie Brown, begins an epic quest.",Disney
Black Is King,United States,2020,"Dance, Music, Musical","This visual album from Beyoncé reimagines lessons of ""The Lion King"" for young kings and queens.",Disney
Cradle of the Gods,United Kingdom,2012,"Documentary, Historical","Located on a hilltop sanctuary, G – bekli Tepe in Turkey is the world's first known temple.",Disney
Incredibles 2,United States,2018,"Action-Adventure, Animation, Family",The Incredibles spring into action when a dangerous new villain emerges.,Disney
Lost Temple of the Inca,United States,2020,Documentary,A scientist discovers artifacts in Peru that could lead him to one of the country’s missing temples.,Disney
Surviving the Mount St. Helens Disaster,United Kingdom,2020,"Animals & Nature, Documentary",Eyewitness accounts and rare images chart the violent 1980 eruption of Mount St. Helens.,Disney
Pirates of the Caribbean: Dead Men Tell No Tales,United States,2017,"Action-Adventure, Fantasy",Captain Jack Sparrow searches for the Trident of Poseidon.,Disney
A Pre-Opening Report from Disneyland,United States,1955,"Documentary, Family, Historical",Walt provides a look at the details needed to get the Park ready to open. See details for advisory.,Disney
Diary of a Wimpy Kid: The Long Haul,United States,2017,"Comedy, Family",A trip to Meemaw’s 90th birthday takes a detour due to Greg’s scheme to attend a gaming convention!,Disney
Lost City of Machu Picchu,United States,2019,"Documentary, Family",Who were the mysterious people who built Machu Picchu and why?,Disney
The Mouseketeers at Walt Disney World,United States,1977,"Coming of Age, Drama, Family",The Mouseketeers arrive to perform at Walt Disney World. See details for advisory.,Disney
X-Men: Apocalypse,United States,2016,"Action-Adventure, Family, Science Fiction","Apocalypse, the most powerful mutant in the universe, tries to destroy all of mankind.",Disney
Hamilton: History Has Its Eyes on You,United States,2020,"Historical, Musical","Robin Roberts hosts a discussion with Lin-Manuel Miranda, Thomas Kail, and original cast members.",Disney
Solo: A Star Wars Story,United States,2018,"Action-Adventure, Crime, Science Fiction",Witness the beginning of the Star Wars saga's most unlikely hero.,Disney
X-Men: Days of Future Past,"United States, United Kingdom, Canada",2014,"Action-Adventure, Family, Science Fiction",Characters from the X-Men trilogy join their younger selves to change the past and save our future.,Disney
The Undefeated Presents: Hamilton In-Depth,United States,2020,"Historical, Musical",The Undefeated Presents: Hamilton In-Depth is a roundtable discussion with 9 stars and the director.,Disney
Diary of a Wimpy Kid: Rodrick Rules,United States,2011,"Comedy, Family","In 7th grade, Greg must bond with his brother, Rodrick while also impressing the new girl in town.",Disney
